Date,Open,High,Low,Close,Volume,ticker,Difference
2012-03-20,4230.0,4230.0,4138.0,4184.0,302500,AAA,-46.0
2012-03-21,4207.0,4461.0,4207.0,4392.0,826800,AAA,185.0
2012-03-22,4392.0,4693.0,4392.0,4623.0,672400,AAA,231.0
2012-03-23,4762.0,4947.0,4762.0,4924.0,473300,AAA,162.0
2012-03-26,5224.0,5247.0,5039.0,5247.0,394300,AAA,23.0
2012-03-27,5247.0,5247.0,4901.0,4901.0,551000,AAA,-346.0
2012-03-28,4693.0,4970.0,4577.0,4854.0,551900,AAA,161.0
2012-03-29,4970.0,4970.0,4531.0,4531.0,556300,AAA,-439.0
2012-03-30,4508.0,4623.0,4300.0,4461.0,234900,AAA,-47.0
2012-04-03,4461.0,4762.0,4461.0,4762.0,134000,AAA,301.0
2012-04-04,4831.0,4901.0,4508.0,4716.0,197600,AAA,-115.0
2012-04-05,4623.0,4854.0,4508.0,4739.0,199800,AAA,116.0
2012-04-06,4808.0,4924.0,4739.0,4785.0,221600,AAA,-23.0
2012-04-09,4808.0,5039.0,4646.0,4970.0,309100,AAA,162.0
2012-04-10,4947.0,4970.0,4739.0,4785.0,333500,AAA,-162.0
2012-04-11,5016.0,5062.0,4854.0,4993.0,312900,AAA,-23.0
2012-04-12,4924.0,5155.0,4901.0,4970.0,272600,AAA,46.0
2012-04-13,4924.0,4970.0,4808.0,4877.0,356200,AAA,-47.0
2012-04-16,4901.0,5155.0,4831.0,5039.0,293100,AAA,138.0
2012-04-17,5132.0,5155.0,4970.0,5039.0,425600,AAA,-93.0
2012-04-18,5039.0,5109.0,4924.0,4970.0,325700,AAA,-69.0
2012-04-19,4924.0,4947.0,4669.0,4739.0,310900,AAA,-185.0
2012-04-20,4785.0,4854.0,4669.0,4762.0,118300,AAA,-23.0
2012-04-23,4831.0,4901.0,4739.0,4762.0,56700,AAA,-69.0
2012-04-24,4831.0,4854.0,4669.0,4831.0,144500,AAA,0.0
2012-04-25,4947.0,5086.0,4924.0,4993.0,292500,AAA,46.0
2012-04-26,4993.0,4993.0,4831.0,4854.0,138600,AAA,-139.0
2012-04-27,4970.0,5178.0,4970.0,5178.0,227500,AAA,208.0
2012-05-02,5525.0,5525.0,5432.0,5525.0,1444400,AAA,0.0
2012-05-03,5779.0,5848.0,5317.0,5502.0,375300,AAA,-277.0
2012-05-04,5548.0,5687.0,5432.0,5571.0,278200,AAA,23.0
2012-05-07,5594.0,5848.0,5571.0,5825.0,369000,AAA,231.0
2012-05-08,5825.0,5987.0,5664.0,5779.0,552900,AAA,-46.0
2012-05-09,5779.0,5872.0,5687.0,5756.0,431800,AAA,-23.0
2012-05-10,5848.0,5848.0,5594.0,5640.0,487900,AAA,-208.0
2012-05-11,5710.0,5710.0,5317.0,5340.0,454900,AAA,-370.0
2012-05-14,5294.0,5363.0,4970.0,4970.0,462400,AAA,-324.0
2012-05-15,4970.0,5039.0,4739.0,4831.0,278400,AAA,-139.0
2012-05-16,4970.0,4993.0,4693.0,4947.0,251500,AAA,-23.0
2012-05-17,5062.0,5086.0,4739.0,4762.0,195000,AAA,-300.0
2012-05-18,4831.0,4831.0,4508.0,4554.0,273000,AAA,-277.0
2012-05-21,4623.0,4854.0,4623.0,4854.0,168600,AAA,231.0
2012-05-22,4901.0,4970.0,4762.0,4785.0,189500,AAA,-116.0
2012-05-23,4716.0,4762.0,4461.0,4461.0,298400,AAA,-255.0
2012-05-24,4531.0,4531.0,4161.0,4346.0,247400,AAA,-185.0
2012-05-25,4392.0,4646.0,4392.0,4646.0,130200,AAA,254.0
2012-05-28,4970.0,4970.0,4554.0,4623.0,133400,AAA,-347.0
2012-05-29,4623.0,4901.0,4508.0,4716.0,204100,AAA,93.0
2012-05-30,4623.0,4808.0,4623.0,4716.0,79200,AAA,93.0
2012-05-31,4577.0,4646.0,4461.0,4484.0,199700,AAA,-93.0
2012-06-01,4577.0,4600.0,4415.0,4508.0,58000,AAA,-69.0
