,Date,Open,High,Low,Close,Volume,ticker
0,2012-03-20,9750.0,9750.0,9520.0,9560.0,14460,AAM
1,2012-03-21,9670.0,9750.0,9560.0,9670.0,8950,AAM
2,2012-03-22,9600.0,9600.0,9600.0,9600.0,8180,AAM
3,2012-03-23,9750.0,9750.0,9480.0,9600.0,1990,AAM
4,2012-03-26,9600.0,10020.0,9600.0,9830.0,3470,AAM
5,2012-03-27,9560.0,9750.0,9520.0,9670.0,3280,AAM
6,2012-03-28,9670.0,9830.0,9670.0,9710.0,1000,AAM
7,2012-03-29,9710.0,9750.0,9710.0,9750.0,360,AAM
8,2012-03-30,9750.0,9750.0,9520.0,9560.0,1360,AAM
9,2012-04-03,9560.0,9750.0,9560.0,9600.0,6260,AAM
10,2012-04-04,9710.0,9750.0,9560.0,9600.0,24030,AAM
11,2012-04-05,9600.0,9600.0,9600.0,9600.0,670,AAM
12,2012-04-06,9670.0,9670.0,9600.0,9600.0,130,AAM
13,2012-04-09,9670.0,9670.0,9600.0,9600.0,2790,AAM
14,2012-04-10,9640.0,9750.0,9640.0,9750.0,7320,AAM
15,2012-04-11,9640.0,9980.0,9640.0,9940.0,2600,AAM
16,2012-04-12,10060.0,10060.0,9750.0,10060.0,5660,AAM
17,2012-04-13,9790.0,10060.0,9790.0,10060.0,3340,AAM
18,2012-04-16,9870.0,10060.0,9870.0,10060.0,15340,AAM
19,2012-04-17,10100.0,10210.0,9940.0,10210.0,24920,AAM
20,2012-04-18,10210.0,10440.0,10210.0,10370.0,43230,AAM
21,2012-04-19,10440.0,10440.0,10290.0,10370.0,26380,AAM
22,2012-04-20,10370.0,10440.0,10330.0,10400.0,16550,AAM
23,2012-04-23,10370.0,10400.0,10330.0,10400.0,50200,AAM
24,2012-04-24,10370.0,10520.0,10370.0,10520.0,50820,AAM
25,2012-04-25,10320.0,10840.0,10320.0,10600.0,18940,AAM
26,2012-04-26,10720.0,10720.0,10440.0,10600.0,12180,AAM
27,2012-04-27,10560.0,10560.0,10320.0,10320.0,5430,AAM
28,2012-05-02,10440.0,10520.0,10440.0,10440.0,3700,AAM
29,2012-05-03,10320.0,10440.0,10280.0,10440.0,3480,AAM
30,2012-05-04,10600.0,10640.0,10240.0,10600.0,23770,AAM
31,2012-05-07,10600.0,11080.0,10600.0,10840.0,44650,AAM
32,2012-05-08,10840.0,11200.0,10800.0,11160.0,53220,AAM
33,2012-05-09,10840.0,11080.0,10840.0,11080.0,32310,AAM
34,2012-05-10,10880.0,10960.0,10680.0,10840.0,39460,AAM
35,2012-05-11,10640.0,10800.0,10440.0,10800.0,16310,AAM
36,2012-05-14,10840.0,10840.0,10320.0,10640.0,23340,AAM
37,2012-05-15,10160.0,10800.0,10160.0,10800.0,48010,AAM
38,2012-05-16,10480.0,10600.0,10480.0,10600.0,1500,AAM
39,2012-05-17,11120.0,11120.0,10240.0,10800.0,240,AAM
40,2012-05-18,10280.0,10800.0,10280.0,10800.0,1070,AAM
41,2012-05-21,10640.0,10880.0,10640.0,10880.0,6670,AAM
42,2012-05-22,10880.0,10880.0,10880.0,10880.0,0,AAM
43,2012-05-23,10840.0,10840.0,10520.0,10520.0,4500,AAM
44,2012-05-24,10560.0,10560.0,10560.0,10560.0,2800,AAM
45,2012-05-25,10560.0,10840.0,10560.0,10840.0,3780,AAM
46,2012-05-28,10560.0,10640.0,10560.0,10640.0,650,AAM
47,2012-05-29,10840.0,10840.0,10800.0,10800.0,20,AAM
48,2012-05-30,10760.0,10760.0,10760.0,10760.0,3000,AAM
49,2012-05-31,10600.0,10800.0,10560.0,10800.0,14760,AAM
50,2012-06-01,10360.0,10760.0,10360.0,10760.0,5540,AAM
51,2012-06-04,10640.0,10800.0,10560.0,10800.0,610,AAM
52,2012-06-05,10720.0,10720.0,10560.0,10640.0,4370,AAM
53,2012-06-06,10640.0,10640.0,10600.0,10640.0,1850,AAM
54,2012-06-07,10640.0,10720.0,10640.0,10640.0,8200,AAM
55,2012-06-08,10840.0,10840.0,10640.0,10640.0,5150,AAM
56,2012-06-11,10840.0,10840.0,10640.0,10720.0,6180,AAM
57,2012-06-12,10640.0,10640.0,10640.0,10640.0,4840,AAM
58,2012-06-13,10640.0,10680.0,10640.0,10680.0,6700,AAM
59,2012-06-14,10680.0,10680.0,10680.0,10680.0,0,AAM
60,2012-06-15,10640.0,10680.0,10640.0,10640.0,15120,AAM
61,2012-06-18,10640.0,10640.0,10640.0,10640.0,2660,AAM
62,2012-06-19,10400.0,10400.0,10400.0,10400.0,1490,AAM
63,2012-06-20,10440.0,10440.0,10440.0,10440.0,230,AAM
64,2012-06-21,10320.0,10640.0,10320.0,10640.0,1010,AAM
65,2012-06-22,10640.0,10640.0,10640.0,10640.0,0,AAM
66,2012-06-25,10640.0,10640.0,10480.0,10520.0,4330,AAM
67,2012-06-26,10520.0,10520.0,10520.0,10520.0,0,AAM
68,2012-06-27,10520.0,10520.0,10520.0,10520.0,0,AAM
69,2012-06-28,10520.0,10640.0,10520.0,10640.0,1260,AAM
70,2012-06-29,10440.0,10640.0,10440.0,10640.0,1300,AAM
71,2012-07-02,10640.0,10640.0,10640.0,10640.0,0,AAM
72,2012-07-03,10600.0,10640.0,10440.0,10600.0,13130,AAM
73,2012-07-04,10600.0,10600.0,10480.0,10480.0,3500,AAM
74,2012-07-05,10440.0,10560.0,10440.0,10560.0,1010,AAM
75,2012-07-06,10560.0,10560.0,10560.0,10560.0,150,AAM
76,2012-07-09,10440.0,10560.0,10440.0,10560.0,5690,AAM
77,2012-07-10,10640.0,11080.0,10640.0,10760.0,3160,AAM
78,2012-07-11,10960.0,10960.0,10960.0,10960.0,10,AAM
79,2012-07-12,11000.0,11000.0,11000.0,11000.0,10,AAM
80,2012-07-13,11000.0,11000.0,10560.0,10880.0,30,AAM
81,2012-07-16,10800.0,10840.0,10800.0,10840.0,510,AAM
82,2012-07-17,10440.0,10880.0,10440.0,10880.0,6560,AAM
83,2012-07-18,10840.0,10840.0,10800.0,10840.0,23050,AAM
84,2012-07-19,10840.0,10840.0,10840.0,10840.0,0,AAM
85,2012-07-20,10800.0,10880.0,10800.0,10800.0,26480,AAM
86,2012-07-23,10440.0,10640.0,10440.0,10640.0,14220,AAM
87,2012-07-24,10440.0,10600.0,10440.0,10480.0,5440,AAM
88,2012-07-25,10760.0,10760.0,10760.0,10760.0,350,AAM
89,2012-07-26,10760.0,10760.0,10760.0,10760.0,10,AAM
90,2012-07-27,10760.0,10800.0,10760.0,10760.0,850,AAM
91,2012-07-30,10640.0,10680.0,10640.0,10680.0,11000,AAM
92,2012-07-31,10720.0,10720.0,10720.0,10720.0,500,AAM
93,2012-08-01,10720.0,10720.0,10440.0,10720.0,2980,AAM
94,2012-08-02,10720.0,10720.0,10720.0,10720.0,1000,AAM
95,2012-08-03,10760.0,10760.0,10760.0,10760.0,10,AAM
