,ticker,thong tin
747,A32,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;"">Công ty Cổ phần 32 (A32) có tiền thân là Xí nghiệp X32 - Bộ Quốc Phòng được thành lập vào năm 1980. Công ty hoạt động trong lĩnh vực sản xuất kinh doanh các mặt hàng giầy da, giày vải,&nbsp;phụ kiện thời trang dây lưng, túi cặp da, ví bóp, ba lô, quần áo mưa và các sản phẩm khác. A32 chính thức hoạt động theo mô hình công ty cổ phần từ năm 2008. Công ty sản xuất giày dép thời trang nam nữ phục vụ thị trường nội địa và giày vải xuất khẩu với năng lực sản xuất 800.000&nbsp;đôi giày da/năm, 1.500.000 đôi giầy vải/năm và 1.440.000&nbsp;đôi dép/năm và 1.600.000 sản phẩm phụ kiện thời trang khác/năm. A32 được giao dịch trên thị trường UPCOM từ tháng 10/2018.</DIV>"
497,AAA," Công ty Cổ phần Nhựa An Phát Xanh (AAA) có tiền thân là Công ty TNHH Anh Hai Duy được thành lập vào năm 2002. Công ty hoạt động chính trong lĩnh vực sản xuất các loại bao bì nhựa. Công ty là doanh nghiệp có quy mô lớn nhất trong ngành với 07 nhà máy sản xuất bao bì có tổng công suất 108.000 tấn/năm và 01 nhà máy sản xuất phụ gia CaCO3 An Phát - Yên Bái có công suất 222.000 tấn/năm. So với các doanh nghiệp cùng ngành trong nước khác như Công ty Cổ phần Nhựa Hưng Yên (công suất khoảng 1.000 tấn/tháng), Công ty Cổ phần Nhựa Tú Phương (công suất khoảng 800 tấn/tháng) và một số doanh nghiệp liên doanh khác ở Phía Nam (công suất dao động từ 500 – 700 tấn/tháng).  AAA được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ cuối năm 2016.  "
584,AAM," Công ty Cổ Phần Thủy Sản Mê Kông (AAM) có tiền thân là Xí nghiệp Rau quả đông lạnh xuất khẩu Hậu Giang được thành lập vào năm 1979. Từ năm 2002, Công ty chính thức hoạt động theo mô hình công ty cổ phần. AAM là doanh nghiệp hoạt động trong lĩnh vực kinh doanh, chế biến xuất khẩu nông sản, thủy sản ở khu vực Đồng Bằng Sông Cửu Long - một khu vực có thế mạnh về nuôi trồng và kinh doanh nông thủy sản của cả nước hiện nay với các sản phẩm chính là cá tra fillet (có tổng công suất chế biến 9.000 tấn/năm), bạch tuộc (có tổng công suất chế biến 1.000 tấn/năm), mực cá đuối đông lạnh xuất khẩu và thủy sản khác xuất khẩu. Công ty hiện có 1 nhà máy với 3 phân xưởng chế biến. Hiện tại Thủy sản Mekong đứng ở vị trí thứ 15 trong số 168 Công ty hoạt động trong lĩnh vực chế biến thủy sản. AAM được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2009.  "
70,AAS,"Công ty Cổ phần Chứng khoán SmartInvest (AAS) có tiền thân là Công ty Cổ phần Chứng khoán Gia Anh được thành lập vào năm 2006. Công ty hoạt động trong lĩnh vực môi giới chứng khoán, tự doanh chứng khoán, bảo lãnh phát hành chứng khoán và tư vấn đầu tư chứng khoán. AAS trở thành công ty đại chúng từ năm 2019. Đối tác kinh doanh bao gồm Công ty CP Chứng khoán KIS Việt Nam, Công ty CP Chứng khoán Ngân hàng Đông Á, Công ty CP Chứng khoán An Bình, Công ty CP Chứng khoán Sài Gòn - Hà Nội, Công ty CP Chứng khoán Đại Dương, Công ty CP Chứng khoán Maritime Bank, Công ty CP Chứng khoán MB, Công ty CP Chứng khoán VN DIRECT, Công ty CP Chứng khoán SACOMBANK. Trong năm 2022, Doanh thu nghiệp vụ môi giới chứng khoán có giá trị bằng 20.17 tỷ đồng, giảm 72.13%. Lợi nhuận trước thuế đạt 399.12 tỷ đồng, giảm 15.45%. Tỷ lệ sinh lời trên vốn chủ sở hữu (ROE) ở mức 23.21 %, giảm 52.03%. AAS được giao dịch trên thị trường UPCOM từ cuối tháng 07/2020. "
744,AAT,"Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa (AAT), tiền thân là Công ty Tiên Sơn Thanh Hoá - TNHH được thành lập năm 1995 với số vốn điều lệ là 550 triệu đồng. Năm 2004, công ty chuyển đổi mô hình kinh doanh thành công ty cổ phần. Lĩnh vực kinh doanh chính của Công ty là May xuất khẩu; kinh doanh khách sạn; kinh doanh nông sản; cho thuê kho, xưởng sản xuất...Công ty hiện đang sở hữu 6 nhà máy đang hoạt động với tổng giá trị đầu tư gần 1,000 tỷ đồng đặt trên địa bàn tỉnh Thanh Hóa. Tổng cộng các nhà máy của Công ty có 161 chuyền may, công suất trung bình khoảng 2.300.000 sản phẩm/tháng. Công ty có một lượng khách hàng lớn, thường xuyên ở cả trong và ngoài nước, chủ yếu đến từ Hàn Quốc, Đài Loan, Mỹ, Nhật Bản, ngoài ra công ty đang hướng mở rộng khách hàng đến các nước EU. AAT được giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 03/2021. "
101,AAV,"Công ty Cổ phần AAV Group (AAV) được thành lập vào năm 2010. Công ty hoạt động trong lĩnh vực đầu tư xây dựng và kinh doanh bất động sản, kinh doanh thực phẩm đông lạnh, du lịch lữ hành và sản xuất kinh doanh thuốc đông nam dược, thực phẩm chức năng. AAV trở thành công ty đại chúng từ năm 2017. AAV đã và đang tham gia đầu tư phát triển bao gồm Dự án Dân cư Phía đông đường Yết Kiêu thị xã Chí Linh với diện tích đất quy hoạch 199.559,08m2, Khu chung cư và nhà ở tại phường Việt Hòa, thành phố Hải Dương, Dự án cụm dân cư đô thị cạnh khu sinh thái Âu Cơ thành phố Hải Dương với diện tích đất quy hoạch 8.224,7 m2, Dự án Côn Sơn Resort với quy mô khoảng 90,68 ha. Bên cạnh đó, Công ty bán buôn hàng thực phẩm đông lạnh cho 03 đối tác chính, bao gồm Công ty TNHH Xuất nhập Khẩu An Bình, Công ty TNHH MTV Hà Thành - Chi nhánh Quảng Ninh và Công ty TNHH MTV Lộc Nguyên Phan. AAV được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2018. "
372,ABB,"Ngân hàng Thương mại Cổ phần An Bình (ABB) có tiền thân là Ngân hàng Thương Mại Cổ phần Nông thôn An Bình được thành lập vào năm 1993. Ngân hàng hoạt động trong lĩnh vực huy động, cấp tín dụng và các dịch vụ tài chính liên quan. Tính đến cuối năm 2022, tổng tài sản của ABB đạt 130.146,6 tỷ đồng, tăng 1,08% so với cùng kỳ năm 2021. Tổng cho vay khách hàng đạt 82.010,6 tỷ đồng. Tỷ lệ dư nợ/tiền gửi (LDR) đạt 97,49%. Biên lãi suất ròng (NIM) ở mức 3,21%. Tỷ lệ nợ xấu (NPL) được duy trì ở mức 2,88%. ABB được giao dịch trên thị trường UPCOM từ cuối tháng 12/2020. "
31,ABC,"Được thành lập vào năm 2006, Công ty Cổ phần truyền thống VMG (ABC), có trụ sở tại Quận Đống Đa, Hà Nội, hoạt động trong lĩnh vực cung cấp các dịch vụ bưu chính viễn thống. Các hoạt động chính của công ty bao gồm: (i) Cung cấp các dịch vụ bưu chính và viễn thông…; (ii) Phát triển các phần mềm trong lĩnh vực điện tử, viễn thông, công nghệ thông tin, Internet…; (iii) Cung cấp các dịch vụ thương mại điện tử… Công ty hiện có 2 công ty con và 1 công ty liên kết. Một trong những sản phẩm của công ty là: MuckyFone, MChat, Simtool Kit, SMS Charging… ABC được giao dịch trên thị trường UPCOM từ tháng 08/2016. "
217,ABI,"Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp (ABIC) thành lập ngày 18/10/2006 và đi vào hoạt động ngày 08/08/2007 với số vốn điều lệ ban đầu là 160 tỷ đồng. Hoạt động chủ yếu của là kinh doanh tái bảo hiểm. Ngày 04/02/2008, ABI đã đăng ký trở thành công ty đại chúng và được UBCKNN chấp thuận. Công ty đã xây dựng mạng lưới gồm 9 chi nhánh và 29 phòng kinh doanh trên toàn quốc. ABI chính thức được giao dịch trên thị trường UPCoM từ năm 2009. "
1481,ABR,"Công ty Cổ phần Đầu tư Nhãn Hiệu Việt (ABR) có tiền thân là Công ty Cổ phần Chế biến Gỗ Kiến An được thành lập vào năm 2012. Công ty hoạt động trong lĩnh vực đầu tư phát triển thương hiệu, đầu tư hệ thống bán lẻ và dịch vụ truyền thông. ABR trở thành công ty đại chúng từ năm 2016. Công ty đã xây dựng chuỗi cửa hàng thời trang và dịch vụ ăn uống với thương hiệu Journey Men Style, Umen và Dalat Land Coffee. Hệ thống truyền thông số với thương hiệu D+ Media (Digital Plus Media) với công cụ chiến lược là Digital Poster đã được triển khai tại các nhà hàng, quán cà phê, bida... Bên cạnh đó, Công ty cũng tìm kiếm đầu tư vào các nhãn hiệu tiềm năng thông qua hình thức mua bán sáp nhập. ABR chính thức được giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ ngày 03/03/2022. "
